disease_area,disease,phase,outcome_normalized,outcome_trial_count,phase_trial_count,percentage,outcome_position
Sleep disorder,Restless Legs Syndrome,Phase 3,CHANGE IN VAS PAIN SCORE,2,17,11.7647,10
Sleep disorder,Restless Legs Syndrome,Phase 3,NUMBER OF PARTICIPANTS WITH NO REPORTED RLS SYMPTOMS,2,17,11.7647,11
Sleep disorder,Restless Legs Syndrome,Phase 4,CGI-I RESPONDER RATE,2,7,28.5714,6
Sleep disorder,Restless Legs Syndrome,Phase 4,CHANGE FROM BASELINE IN IRLS SCORE,2,7,28.5714,2
Sleep disorder,Restless Legs Syndrome,Phase 4,CHANGE IN IRLS SCORE,2,7,28.5714,0
Sleep disorder,Restless Legs Syndrome,Phase 4,CHANGE IN RLS-6 SCORE,2,7,28.5714,9
Sleep disorder,Restless Legs Syndrome,Phase 4,CHANGE IN SF-36 SCORE,2,7,28.5714,1
Sleep disorder,Restless Legs Syndrome,Phase 4,ACTIGRAPHICALLY-DERIVED TOTAL SLEEP TIME,1,7,14.2857,13
Sleep disorder,Restless Legs Syndrome,Phase 4,CHANGE FROM BASELINE IN ATHENS INSOMNIA SCALE,1,7,14.2857,16
Disorder of eye,Retinal Vein Occlusion,Phase 1,NUMBER OF ADVERSE EVENTS,2,14,14.2857,17
Disorder of eye,Retinal Vein Occlusion,Phase 1,AC-EMAX - HEMOGLOBIN,1,14,7.1429,18
Disorder of eye,Retinal Vein Occlusion,Phase 1,AC-EMAX - RETICULOCYTES,1,14,7.1429,19
Disorder of eye,Retinal Vein Occlusion,Phase 1,AUC FROM 0 TO INFINITY,1,14,7.1429,21
Disorder of eye,Retinal Vein Occlusion,Phase 1,AUEC ABSOLUTE RETICULOCYTE COUNT,1,14,7.1429,22
Disorder of eye,Retinal Vein Occlusion,Phase 1,AUEC HEMOGLOBIN,1,14,7.1429,23
Disorder of eye,Retinal Vein Occlusion,Phase 1,BASELINE EDSS SCORE,1,14,7.1429,24
Disorder of eye,Retinal Vein Occlusion,Phase 2,CHANGE FROM BASELINE IN BEST CORRECTED VISUAL ACUITY,5,38,13.1579,3
Disorder of eye,Retinal Vein Occlusion,Phase 2,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,4,38,10.5263,0
Disorder of eye,Retinal Vein Occlusion,Phase 2,CHANGE FROM BASELINE IN THE NUMBER OF PARTICIPANTS WITH ANTI-DRUG ANTIBODIES,2,38,5.2632,10
Disorder of eye,Retinal Vein Occlusion,Phase 2,CHANGE IN BEST CORRECTED VISUAL ACUITY,2,38,5.2632,2
Disorder of eye,Retinal Vein Occlusion,Phase 2,MEAN CHANGE IN CENTRAL SUBFIELD THICKNESS,2,38,5.2632,14
Disorder of eye,Retinal Vein Occlusion,Phase 2,MEAN CHANGE IN TOTAL AREA OF CHOROIDAL NEOVASCULARIZATION,2,38,5.2632,15
Disorder of eye,Retinal Vein Occlusion,Phase 2,MEAN CHANGE IN TOTAL AREA OF CNV,2,38,5.2632,16
Disorder of eye,Retinal Vein Occlusion,Phase 3,CHANGE FROM BASELINE IN BCVA,6,49,12.2449,1
Disorder of eye,Retinal Vein Occlusion,Phase 3,EVENT-FREE SURVIVAL,5,49,10.2041,5
Disorder of eye,Retinal Vein Occlusion,Phase 3,CHANGE IN EQ-5D SCORE,4,49,8.1633,6
Disorder of eye,Retinal Vein Occlusion,Phase 3,CHANGE FROM BASELINE IN BEST-CORRECTED VISUAL ACUITY,3,49,6.1224,4
Disorder of eye,Retinal Vein Occlusion,Phase 3,CHANGE FROM BASELINE IN CENTRAL RETINAL THICKNESS,3,49,6.1224,7
Disorder of eye,Retinal Vein Occlusion,Phase 3,CHANGE FROM BASELINE IN NEI VFQ-25 TOTAL SCORE,3,49,6.1224,8
Disorder of eye,Retinal Vein Occlusion,Phase 3,CHANGE IN BCVA,3,49,6.1224,9
Disorder of eye,Retinal Vein Occlusion,Phase 4,CHANGE IN BEST CORRECTED VISUAL ACUITY,4,31,12.9032,2
Disorder of eye,Retinal Vein Occlusion,Phase 4,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,3,31,9.6774,0
Disorder of eye,Retinal Vein Occlusion,Phase 4,CHANGE FROM BASELINE IN BEST-CORRECTED VISUAL ACUITY,2,31,6.4516,4
Disorder of eye,Retinal Vein Occlusion,Phase 4,CHANGE IN CENTRAL SUBFIELD THICKNESS,2,31,6.4516,11
Disorder of eye,Retinal Vein Occlusion,Phase 4,CHANGE IN MACULAR VOLUME,2,31,6.4516,12
Disorder of eye,Retinal Vein Occlusion,Phase 4,MEAN CHANGE IN BEST CORRECTED VISUAL ACUITY,2,31,6.4516,13
Disorder of eye,Retinal Vein Occlusion,Phase 4,ADEQUATE SEDATION,1,31,3.2258,20
Disorder of immune function,Rheumatoid Arthritis,Phase 1,MAXIMUM PLASMA CONCENTRATION,15,34,44.1176,8
Disorder of immune function,Rheumatoid Arthritis,Phase 1,TIME TO MAXIMUM CONCENTRATION,13,34,38.2353,9
Disorder of immune function,Rheumatoid Arthritis,Phase 1,AUC FROM 0 TO INFINITY,10,34,29.4118,11
Disorder of immune function,Rheumatoid Arthritis,Phase 1,ACR20 RESPONSE,7,34,20.5882,0
Disorder of immune function,Rheumatoid Arthritis,Phase 1,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,6,34,17.6471,12
Disorder of immune function,Rheumatoid Arthritis,Phase 1,AREA UNDER THE CONCENTRATION-TIME CURVE,5,34,14.7059,13
Disorder of immune function,Rheumatoid Arthritis,Phase 1,AUC FROM 0 TO LAST MEASURABLE CONCENTRATION,5,34,14.7059,14
Disorder of immune function,Rheumatoid Arthritis,Phase 2,ACR20 RESPONSE,114,171,66.6667,0
Disorder of immune function,Rheumatoid Arthritis,Phase 2,ACR50 RESPONSE,91,171,53.2164,2
Disorder of immune function,Rheumatoid Arthritis,Phase 2,ACR70 RESPONSE,81,171,47.3684,4
Disorder of immune function,Rheumatoid Arthritis,Phase 2,CHANGE IN DAS28 SCORE,81,171,47.3684,1
Disorder of immune function,Rheumatoid Arthritis,Phase 2,CHANGE IN HAQ-DI SCORE,60,171,35.0877,3
Disorder of immune function,Rheumatoid Arthritis,Phase 2,CHANGE IN VAS PAIN SCORE,36,171,21.0526,5
Disorder of immune function,Rheumatoid Arthritis,Phase 2,CHANGE IN CDAI SCORE,29,171,16.9591,7
Disorder of immune function,Rheumatoid Arthritis,Phase 3,ACR20 RESPONSE,146,244,59.8361,0
Disorder of immune function,Rheumatoid Arthritis,Phase 3,CHANGE IN DAS28 SCORE,139,244,56.9672,1
Disorder of immune function,Rheumatoid Arthritis,Phase 3,CHANGE IN HAQ-DI SCORE,120,244,49.1803,3
Disorder of immune function,Rheumatoid Arthritis,Phase 3,ACR50 RESPONSE,104,244,42.6230,2
Disorder of immune function,Rheumatoid Arthritis,Phase 3,ACR70 RESPONSE,89,244,36.4754,4
Disorder of immune function,Rheumatoid Arthritis,Phase 3,CHANGE IN VAS PAIN SCORE,56,244,22.9508,5
Disorder of immune function,Rheumatoid Arthritis,Phase 3,CHANGE IN SF-36 SCORE,51,244,20.9016,6
Disorder of immune function,Rheumatoid Arthritis,Phase 4,CHANGE IN DAS28 SCORE,35,88,39.7727,1
Disorder of immune function,Rheumatoid Arthritis,Phase 4,ACR20 RESPONSE,23,88,26.1364,0
Disorder of immune function,Rheumatoid Arthritis,Phase 4,ACR50 RESPONSE,22,88,25.0000,2
Disorder of immune function,Rheumatoid Arthritis,Phase 4,CHANGE IN HAQ-DI SCORE,20,88,22.7273,3
Disorder of immune function,Rheumatoid Arthritis,Phase 4,ACR70 RESPONSE,19,88,21.5909,4
Disorder of immune function,Rheumatoid Arthritis,Phase 4,CHANGE IN VAS PAIN SCORE,15,88,17.0455,5
Disorder of immune function,Rheumatoid Arthritis,Phase 4,CHANGE IN CRP,12,88,13.6364,10
Disorder of skin,Rosacea,Phase 1,AUC (0-24) FOR PALIFERMIN,1,5,20.0000,17
Disorder of skin,Rosacea,Phase 1,CANDIDA SPECIES COUNT,1,5,20.0000,18
Disorder of skin,Rosacea,Phase 1,CHANGE IN BROWN SPOT AREA,1,5,20.0000,19
Disorder of skin,Rosacea,Phase 1,CHANGE IN COLOR EVENNESS,1,5,20.0000,20
Disorder of skin,Rosacea,Phase 1,CHANGE IN LUMINOSITY,1,5,20.0000,21
Disorder of skin,Rosacea,Phase 1,CHANGE IN REDNESS AREA,1,5,20.0000,22
Disorder of skin,Rosacea,Phase 1,CHANGE IN WRINKLES AREA,1,5,20.0000,23
Disorder of skin,Rosacea,Phase 2,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,9,79,11.3924,0
Disorder of skin,Rosacea,Phase 2,DURATION OF RESPONSE,4,79,5.0633,10
Disorder of skin,Rosacea,Phase 2,IGA RESPONSE,4,79,5.0633,2
Disorder of skin,Rosacea,Phase 2,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,4,79,5.0633,1
Disorder of skin,Rosacea,Phase 2,CHANGE IN PAIN SCORE,3,79,3.7975,6
Disorder of skin,Rosacea,Phase 2,CURE RATE,3,79,3.7975,11
Disorder of skin,Rosacea,Phase 2,DURATION OF SEVERE ORAL MUCOSITIS,3,79,3.7975,12
Disorder of skin,Rosacea,Phase 3,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,13,98,13.2653,1
Disorder of skin,Rosacea,Phase 3,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,8,98,8.1633,0
Disorder of skin,Rosacea,Phase 3,PERCENTAGE OF RESPONDERS AT MAXIMUM FROWN,6,98,6.1224,4
Disorder of skin,Rosacea,Phase 3,RESPONDER RATE,6,98,6.1224,5
Disorder of skin,Rosacea,Phase 3,IGA TREATMENT SUCCESS,5,98,5.1020,7
Disorder of skin,Rosacea,Phase 3,PERCENT CHANGE IN INFLAMMATORY LESION COUNT,5,98,5.1020,8
Disorder of skin,Rosacea,Phase 3,CHANGE FROM BASELINE IN NASAL POLYP SCORE,4,98,4.0816,9
Disorder of skin,Rosacea,Phase 4,PATIENT SATISFACTION,6,49,12.2449,3
Disorder of skin,Rosacea,Phase 4,IGA RESPONSE,4,49,8.1633,2
Disorder of skin,Rosacea,Phase 4,CHANGE FROM BASELINE IN FACE-Q PSYCHOLOGICAL FUNCTION SCORE,2,49,4.0816,13
Disorder of skin,Rosacea,Phase 4,CHANGE IN PAIN SCORE,2,49,4.0816,6
Disorder of skin,Rosacea,Phase 4,CHANGE IN PSYCHOLOGICAL WELL-BEING SCORE,2,49,4.0816,14
Disorder of skin,Rosacea,Phase 4,CHANGE IN QUALITY OF LIFE SCORE,2,49,4.0816,15
Disorder of skin,Rosacea,Phase 4,INFLAMMATORY LESION COUNT,2,49,4.0816,16
Disorder of immune function,Sarcoidosis,Phase 1,AUC FROM 0 TO INFINITY,2,9,22.2222,6
Disorder of immune function,Sarcoidosis,Phase 1,MAXIMUM PLASMA CONCENTRATION,2,9,22.2222,0
Disorder of immune function,Sarcoidosis,Phase 1,PLASMA DRUG CONCENTRATION,2,9,22.2222,11
Disorder of immune function,Sarcoidosis,Phase 1,TIME TO MAXIMUM CONCENTRATION,2,9,22.2222,13
Disorder of immune function,Sarcoidosis,Phase 1,ACCUMULATION RATIO,1,9,11.1111,17
Disorder of immune function,Sarcoidosis,Phase 1,APPARENT TERMINAL HALF-LIFE,1,9,11.1111,19
Disorder of immune function,Sarcoidosis,Phase 1,APPENDICULAR LEAN MASS,1,9,11.1111,20
Disorder of immune function,Sarcoidosis,Phase 2,CHANGE IN 6-MINUTE WALK DISTANCE,7,64,10.9375,2
Disorder of immune function,Sarcoidosis,Phase 2,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,7,64,10.9375,3
Disorder of immune function,Sarcoidosis,Phase 2,GEOMETRIC MEAN TITER,5,64,7.8125,5
Disorder of immune function,Sarcoidosis,Phase 2,SEROCONVERSION RATE,4,64,6.2500,4
Disorder of immune function,Sarcoidosis,Phase 2,CHANGE FROM BASELINE IN CDASI ACTIVITY SCORE,3,64,4.6875,7
Disorder of immune function,Sarcoidosis,Phase 2,MAXIMUM PLASMA CONCENTRATION,3,64,4.6875,0
Disorder of immune function,Sarcoidosis,Phase 2,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,3,64,4.6875,1
Disorder of immune function,Sarcoidosis,Phase 3,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,3,21,14.2857,1
Disorder of immune function,Sarcoidosis,Phase 3,COMPLETE CURE RATE,2,21,9.5238,8
Disorder of immune function,Sarcoidosis,Phase 3,CURE RATE,2,21,9.5238,9
Disorder of immune function,Sarcoidosis,Phase 3,MEAN CHANGE IN MMT-8 SCORE,2,21,9.5238,10
Disorder of immune function,Sarcoidosis,Phase 3,PROPORTION OF LICE-FREE SUBJECTS,2,21,9.5238,12
Disorder of immune function,Sarcoidosis,Phase 3,SEROCONVERSION RATE,2,21,9.5238,4
Disorder of immune function,Sarcoidosis,Phase 3,"ANNUALIZED RATE OF MILD, MODERATE, AND SEVERE TEAES",1,21,4.7619,18
Disorder of immune function,Sarcoidosis,Phase 4,MAXIMUM PLASMA CONCENTRATION,3,19,15.7895,0
Disorder of immune function,Sarcoidosis,Phase 4,AUC FROM 0 TO INFINITY,2,19,10.5263,6
Disorder of immune function,Sarcoidosis,Phase 4,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,2,19,10.5263,1
Disorder of immune function,Sarcoidosis,Phase 4,12-LEAD ECG HEART RATE,1,19,5.2632,14
Disorder of immune function,Sarcoidosis,Phase 4,18FDG UPTAKE,1,19,5.2632,15
Disorder of immune function,Sarcoidosis,Phase 4,50-METER WALKING SPEED,1,19,5.2632,16
Disorder of immune function,Sarcoidosis,Phase 4,AREA UNDER THE CONCENTRATION-TIME CURVE,1,19,5.2632,21
Neoplastic disease,Sarcoma,Phase 1,OBJECTIVE RESPONSE RATE,5,15,33.3333,0
Neoplastic disease,Sarcoma,Phase 1,MAXIMUM PLASMA CONCENTRATION,4,15,26.6667,8
Neoplastic disease,Sarcoma,Phase 1,OVERALL SURVIVAL,4,15,26.6667,2
Neoplastic disease,Sarcoma,Phase 1,PROGRESSION-FREE SURVIVAL,4,15,26.6667,1
Neoplastic disease,Sarcoma,Phase 1,DISEASE CONTROL RATE,3,15,20.0000,9
Neoplastic disease,Sarcoma,Phase 1,MAXIMUM TOLERATED DOSE,3,15,20.0000,10
Neoplastic disease,Sarcoma,Phase 1,NUMBER OF PARTICIPANTS WITH ANTI-OLARATUMAB ANTIBODIES,3,15,20.0000,11
Neoplastic disease,Sarcoma,Phase 2,OBJECTIVE RESPONSE RATE,75,137,54.7445,0
Neoplastic disease,Sarcoma,Phase 2,PROGRESSION-FREE SURVIVAL,61,137,44.5255,1
Neoplastic disease,Sarcoma,Phase 2,OVERALL SURVIVAL,51,137,37.2263,2
Neoplastic disease,Sarcoma,Phase 2,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,14,137,10.2190,3
Neoplastic disease,Sarcoma,Phase 2,TIME TO PROGRESSION,11,137,8.0292,5
Neoplastic disease,Sarcoma,Phase 2,DURATION OF RESPONSE,9,137,6.5693,4
Neoplastic disease,Sarcoma,Phase 2,CLINICAL BENEFIT RATE,8,137,5.8394,6
Neoplastic disease,Sarcoma,Phase 3,OVERALL SURVIVAL,10,19,52.6316,2
Neoplastic disease,Sarcoma,Phase 3,EVENT-FREE SURVIVAL,7,19,36.8421,7
Neoplastic disease,Sarcoma,Phase 3,OBJECTIVE RESPONSE RATE,7,19,36.8421,0
Neoplastic disease,Sarcoma,Phase 3,PROGRESSION-FREE SURVIVAL,7,19,36.8421,1
Neoplastic disease,Sarcoma,Phase 3,DURATION OF RESPONSE,3,19,15.7895,4
Neoplastic disease,Sarcoma,Phase 3,5-YEAR FAILURE FREE SURVIVAL,1,19,5.2632,12
Neoplastic disease,Sarcoma,Phase 3,5-YEAR SURVIVAL RATE,1,19,5.2632,13
Neoplastic disease,Sarcoma,Phase 4,CHANGE FROM BASELINE IN HADS SCORE,1,4,25.0000,14
Neoplastic disease,Sarcoma,Phase 4,CHANGE IN MBPI-SF INTERFERENCE INDEX SCORE,1,4,25.0000,15
Neoplastic disease,Sarcoma,Phase 4,CHANGE IN PAIN SCORE,1,4,25.0000,16
Neoplastic disease,Sarcoma,Phase 4,DAAC IN DAILY WORST PAIN,1,4,25.0000,17
Neoplastic disease,Sarcoma,Phase 4,DISEASE PROGRESSION OR RECURRENCE,1,4,25.0000,18
Neoplastic disease,Sarcoma,Phase 4,DURATION ADJUSTED AVERAGE CHANGE IN DAILY WORST PAIN,1,4,25.0000,19
Neoplastic disease,Sarcoma,Phase 4,NUMBER OF PARTICIPANTS EXPERIENCING ADVERSE EVENTS OF INTEREST,1,4,25.0000,20
Mental illness,Schizophrenia,Phase 1,MAXIMUM PLASMA CONCENTRATION,27,52,51.9231,2
Mental illness,Schizophrenia,Phase 1,TIME TO MAXIMUM CONCENTRATION,22,52,42.3077,5
Mental illness,Schizophrenia,Phase 1,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,12,52,23.0769,4
Mental illness,Schizophrenia,Phase 1,AREA UNDER THE CONCENTRATION-TIME CURVE,8,52,15.3846,10
Mental illness,Schizophrenia,Phase 1,AUC FROM 0 TO LAST MEASURABLE CONCENTRATION,7,52,13.4615,12
Mental illness,Schizophrenia,Phase 1,PLASMA DRUG CONCENTRATION,7,52,13.4615,15
Mental illness,Schizophrenia,Phase 1,CLEARANCE,6,52,11.5385,17
Mental illness,Schizophrenia,Phase 2,CHANGE IN PANSS SCORE,54,132,40.9091,0
Mental illness,Schizophrenia,Phase 2,CHANGE FROM BASELINE IN CGI-S SCORE,11,132,8.3333,1
Mental illness,Schizophrenia,Phase 2,CHANGE IN CGI-S SCORE,9,132,6.8182,6
Mental illness,Schizophrenia,Phase 2,CHANGE IN BODY WEIGHT,8,132,6.0606,3
Mental illness,Schizophrenia,Phase 2,MAXIMUM PLASMA CONCENTRATION,7,132,5.3030,2
Mental illness,Schizophrenia,Phase 2,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,7,132,5.3030,4
Mental illness,Schizophrenia,Phase 2,PANSS TOTAL SCORE,7,132,5.3030,14
Mental illness,Schizophrenia,Phase 3,CHANGE IN PANSS SCORE,65,161,40.3727,0
Mental illness,Schizophrenia,Phase 3,CHANGE FROM BASELINE IN CGI-S SCORE,18,161,11.1801,1
Mental illness,Schizophrenia,Phase 3,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,14,161,8.6957,4
Mental illness,Schizophrenia,Phase 3,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,14,161,8.6957,7
Mental illness,Schizophrenia,Phase 3,CHANGE IN BODY WEIGHT,13,161,8.0745,3
Mental illness,Schizophrenia,Phase 3,CHANGE IN CGI-S SCORE,12,161,7.4534,6
Mental illness,Schizophrenia,Phase 3,MEAN CHANGE IN CGI-S SCORE,12,161,7.4534,8
Mental illness,Schizophrenia,Phase 4,CHANGE IN PANSS SCORE,36,119,30.2521,0
Mental illness,Schizophrenia,Phase 4,CHANGE IN BODY WEIGHT,12,119,10.0840,3
Mental illness,Schizophrenia,Phase 4,CHANGE IN BODY MASS INDEX,9,119,7.5630,9
Mental illness,Schizophrenia,Phase 4,CHANGE IN TRIGLYCERIDES,8,119,6.7227,11
Mental illness,Schizophrenia,Phase 4,CHANGE IN TOTAL CHOLESTEROL,7,119,5.8824,13
Mental illness,Schizophrenia,Phase 4,CHANGE IN LDL CHOLESTEROL,6,119,5.0420,16
Mental illness,Schizophrenia,Phase 4,CHANGE FROM BASELINE IN CGI-S SCORE,5,119,4.2017,1
Procedure,Screening,Phase 1,AUC 0-24 OF METOPROLOL,1,1,100.0000,3
Procedure,Screening,Phase 1,CHANGE IN MEAN HEART RATE,1,1,100.0000,9
Procedure,Screening,Phase 1,DIASTOLIC AND SYSTOLIC BLOOD PRESSURE,1,1,100.0000,13
Procedure,Screening,Phase 1,DOSE OF METOPROLOL RESULTING IN NO CHANGE IN MEAN HEART RATE,1,1,100.0000,15
Procedure,Screening,Phase 1,HEART RATE,1,1,100.0000,18
Procedure,Screening,Phase 1,MAXIMUM AND MINIMUM HEART RATE,1,1,100.0000,19
Procedure,Screening,Phase 1,MAXIMUM HEART RATE AND MINIMUM HEART RATE,1,1,100.0000,20
Procedure,Screening,Phase 2,DISEASE CONTROL RATE,1,1,100.0000,14
Procedure,Screening,Phase 2,MEDIAN DURATION OF RESPONSE,1,1,100.0000,21
Procedure,Screening,Phase 2,MEDIAN OVERALL SURVIVAL,1,1,100.0000,22
Procedure,Screening,Phase 2,MEDIAN PROGRESSION-FREE SURVIVAL,1,1,100.0000,23
Procedure,Screening,Phase 2,OBJECTIVE RESPONSE RATE,1,1,100.0000,25
Procedure,Screening,Phase 2,PROPORTION OF PARTICIPANTS WITH TREATMENT-RELATED DOSE-LIMITING TOXICITIES,1,1,100.0000,26
Procedure,Screening,Phase 3,MRI LESION COUNT,2,4,50.0000,0
Procedure,Screening,Phase 3,ACCURACY OF DETECTION OF ABNORMAL BRAIN TISSUE,1,4,25.0000,1
Procedure,Screening,Phase 3,ACCURACY OF DETECTION OF MALIGNANT LESIONS,1,4,25.0000,2
Procedure,Screening,Phase 3,BORDER DELINEATION AND INTERNAL MORPHOLOGY SCORES,1,4,25.0000,6
Procedure,Screening,Phase 3,CHANGE FROM BASELINE IN HEALTH-RELATED QUALITY OF LIFE,1,4,25.0000,7
Procedure,Screening,Phase 3,CONTRAST ENHANCEMENT SCORE,1,4,25.0000,10
Procedure,Screening,Phase 3,"CONTRAST ENHANCEMENT, BORDER DELINEATION AND INTERNAL MORPHOLOGY SCORES",1,4,25.0000,11
Procedure,Screening,Phase 4,AUC FROM 0 TO INFINITY,1,6,16.6667,4
Procedure,Screening,Phase 4,BISPECTRAL INDEX SCORE,1,6,16.6667,5
Procedure,Screening,Phase 4,CHANGE IN BLOOD PROTEIN LEVELS,1,6,16.6667,8
Procedure,Screening,Phase 4,CREATININE CLEARANCE CHANGE,1,6,16.6667,12
Procedure,Screening,Phase 4,ENDOSCOPIST SATISFACTION,1,6,16.6667,16
Procedure,Screening,Phase 4,FREQUENT PAIN ASSUMPTION,1,6,16.6667,17
Procedure,Screening,Phase 4,NUMBER OF SUBJECTS WITH DRIVING SIMULATOR CRASH EVENTS,1,6,16.6667,24
Infection,Sepsis,Phase 1,AUC FROM 0 TO INFINITY,4,16,25.0000,5
Infection,Sepsis,Phase 1,VOLUME OF DISTRIBUTION,4,16,25.0000,8
Infection,Sepsis,Phase 1,MAXIMUM PLASMA CONCENTRATION,3,16,18.7500,2
Infection,Sepsis,Phase 1,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,3,16,18.7500,0
Infection,Sepsis,Phase 1,ANTIBODY CONCENTRATION,2,16,12.5000,15
Infection,Sepsis,Phase 1,AUC FROM 0 TO LAST MEASURABLE CONCENTRATION,2,16,12.5000,16
Infection,Sepsis,Phase 1,GEOMETRIC MEAN ANTIBODY CONCENTRATION,2,16,12.5000,17
Infection,Sepsis,Phase 2,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,5,36,13.8889,0
Infection,Sepsis,Phase 2,NUMBER OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,5,36,13.8889,3
Infection,Sepsis,Phase 2,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,4,36,11.1111,6
Infection,Sepsis,Phase 2,28-DAY MORTALITY,3,36,8.3333,4
Infection,Sepsis,Phase 2,HOSPITAL LENGTH OF STAY,3,36,8.3333,10
Infection,Sepsis,Phase 2,MAXIMUM PLASMA CONCENTRATION,3,36,8.3333,2
Infection,Sepsis,Phase 2,PERCENTAGE OF PARTICIPANTS REPORTING ADVERSE EVENTS,3,36,8.3333,12
Infection,Sepsis,Phase 3,ALL-CAUSE MORTALITY,6,29,20.6897,1
Infection,Sepsis,Phase 3,SEROPROTECTION RATE,4,29,13.7931,7
Infection,Sepsis,Phase 3,90-DAY MORTALITY,3,29,10.3448,9
Infection,Sepsis,Phase 3,LENGTH OF HOSPITAL STAY,3,29,10.3448,11
Infection,Sepsis,Phase 3,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,3,29,10.3448,0
Infection,Sepsis,Phase 3,180-DAY MORTALITY,2,29,6.8966,13
Infection,Sepsis,Phase 3,28-DAY ALL-CAUSE MORTALITY,2,29,6.8966,14
Infection,Sepsis,Phase 4,28-DAY MORTALITY,1,19,5.2632,4
Infection,Sepsis,Phase 4,7 DAY ALL-CAUSE IN-HOSPITAL MORTALITY,1,19,5.2632,18
Infection,Sepsis,Phase 4,ACUTE KIDNEY INJURY SCORE,1,19,5.2632,19
Infection,Sepsis,Phase 4,ALL-CAUSE MORTALITY,1,19,5.2632,1
Infection,Sepsis,Phase 4,ANTIMICROBIAL RESISTANCE,1,19,5.2632,20
Infection,Sepsis,Phase 4,ANTIMICROBIAL RESISTANCE RATE,1,19,5.2632,21
Infection,Sepsis,Phase 4,CARDIAC INDEX,1,19,5.2632,22
Respiratory disease,Severe Asthma,Phase 1,ACCUMULATION RATIO,1,1,100.0000,8
Respiratory disease,Severe Asthma,Phase 1,AUC FROM 0 TO INFINITY,1,1,100.0000,11
Respiratory disease,Severe Asthma,Phase 1,AUC[0 - T] FOR CAT-354,1,1,100.0000,12
Respiratory disease,Severe Asthma,Phase 1,CLEARANCE,1,1,100.0000,23
Respiratory disease,Severe Asthma,Phase 1,MAXIMUM OBSERVED SERUM CONCENTRATION,1,1,100.0000,24
Respiratory disease,Severe Asthma,Phase 1,MAXIMUM PLASMA CONCENTRATION,1,1,100.0000,25
Respiratory disease,Severe Asthma,Phase 1,NUMBER OF PARTICIPANTS REPORTING TREATMENT-EMERGENT ADVERSE EVENTS,1,1,100.0000,26
Respiratory disease,Severe Asthma,Phase 2,AQLQ SCORE CHANGE,1,4,25.0000,10
Respiratory disease,Severe Asthma,Phase 2,CHANGE FROM BASELINE IN CERVICOMENTAL ANGLE,1,4,25.0000,13
Respiratory disease,Severe Asthma,Phase 2,CHANGE FROM BASELINE IN PATIENT-REPORTED SUBMENTAL FAT IMPACT SCALE,1,4,25.0000,14
Respiratory disease,Severe Asthma,Phase 2,CHANGE FROM BASELINE IN PR-SMFRS,1,4,25.0000,0
Respiratory disease,Severe Asthma,Phase 2,CHANGE FROM BASELINE IN SKIN LAXITY RATING,1,4,25.0000,15
Respiratory disease,Severe Asthma,Phase 2,CHANGE FROM BASELINE IN SMF RATING SCALE SCORE,1,4,25.0000,16
Respiratory disease,Severe Asthma,Phase 2,CHANGE FROM BASELINE IN SUBJECT SATISFACTION WITH APPEARANCE RATING SCALE,1,4,25.0000,17
Respiratory disease,Severe Asthma,Phase 3,CHANGE FROM BASELINE IN PR-SMFRS,3,13,23.0769,0
Respiratory disease,Severe Asthma,Phase 3,CHANGE FROM BASELINE IN SUBMENTAL FAT THICKNESS,3,13,23.0769,1
Respiratory disease,Severe Asthma,Phase 3,ACTIVITY IMPAIRMENT,2,13,15.3846,2
Respiratory disease,Severe Asthma,Phase 3,ANNUAL EXACERBATION RATE,2,13,15.3846,3
Respiratory disease,Severe Asthma,Phase 3,ANNUALISED ASTHMA EXACERBATION RATE,2,13,15.3846,4
Respiratory disease,Severe Asthma,Phase 3,ANTI-DRUG ANTIBODIES,2,13,15.3846,5
Respiratory disease,Severe Asthma,Phase 3,ASTHMA-RELATED HEALTHCARE ENCOUNTERS,2,13,15.3846,6
Respiratory disease,Severe Asthma,Phase 4,30-DAY MORTALITY,1,3,33.3333,7
